id,title,description,original_air_date,production_code,directed_by,written_by,season,number_in_season,number_in_series,us_viewers_in_millions,imdb_rating,tmdb_rating,tmdb_vote_count
123,The PTA Disbands,"Bart manipulates Mrs. Krabappel into leading a teachers' strike against Principal Skinner, but is perturbed when Marge becomes his substitute.    ",1995-04-16,2F19,Swinton O. Scott III,Jennifer Crittenden,6,21,124,11.8,8.0,7.1,24
124,'Round Springfield,"When Bart is hospitalized, Lisa runs into her mentor Bleeding Gums Murphy, who is also a patient, and becomes devastated when he dies soon after.    ",1995-04-30,2F32,Steven Dean Moore,Story by : Al Jean & Mike ReissTeleplay by : Joshua Sternin & Jennifer Ventimilia,6,22,125,12.6,8.1,7.3,24
125,The Springfield Connection,Marge deals with corruption and crime when she joins the Springfield police force.    ,1995-05-07,2F21,Mark Kirkland,Jonathan Collier,6,23,126,12.7,8.2,7.2,24
126,Lemon of Troy,"When a group of Shelbyville kids steal Springfield's sacred lemon tree, Bart and his friends venture there to get the tree back.    ",1995-05-14,2F22,Jim Reardon,Brent Forrester,6,24,127,13.1,8.7,7.2,26
127,Who Shot Mr. Burns? - Part I,"After Mr. Burns steals oil from Springfield Elementary and blocks out the sun, an unknown person shoots him.    ",1995-05-21,2F16,Jeffrey Lynch,Bill Oakley & Josh Weinstein,6,25,128,15.0,9.2,8.1,29
128,Who Shot Mr. Burns? - Part II,"Mr. Burns is laying in the hospital while the investigation into his shooter begins. Every citizen has motivation, but it's Simpson DNA that has been found.    ",1995-09-17,2F20,Wes Archer,Bill Oakley & Josh Weinstein,7,1,129,22.6,9.0,8.0,27
129,Radioactive Man,Milhouse is cast as Radioactive Man's sidekick in a Hollywood production of the comic book.    ,1995-09-24,2F17,Susie Dietter,John Swartzwelder,7,2,130,15.7,8.3,7.3,25
130,Home Sweet Homediddly-Dum-Doodily,"Marge and Homer lose custody of the kids, who are sent to live at the Flanders' house.    ",1995-10-01,3F01,Susie Dietter,Jon Vitti,7,3,131,14.5,8.4,7.6,25
131,Bart Sells His Soul,Bart casually sells his soul to Milhouse for $5 but soon regrets it; Moe converts his dank bar into a family restaurant.    ,1995-10-08,3F02,Wes Archer,Greg Daniels,7,4,132,14.8,8.8,7.9,30
132,Lisa the Vegetarian,"A trip to a local petting zoo convinces Lisa to give up meat, despite excessive pressure to convince her not to do so.    ",1995-10-15,3F03,Mark Kirkland,David X. Cohen,7,5,133,14.6,8.5,7.7,27
133,Treehouse of Horror VI,A lightning storm causes giant advertising mascots to come to life; The children are terrorized by Groundskeeper Willie in their dreams; Homer finds himself trapped in another dimension.    ,1995-10-29,3F04,Bob Anderson,John Swartzwelder,7,6,134,19.7,8.6,7.7,27
134,King-Size Homer,"Homer intentionally gains more weight in order to qualify for disability and work from home, but soon realizes that being morbidly obese comes with its own problems.    ",1995-11-05,3F05,Jim Reardon,Dan Greaney,7,7,135,17.0,9.0,8.2,28
135,Mother Simpson,"After faking his own death, Homer is reunited with his mother, who harbors a deep secret.    ",1995-11-19,3F06,David Silverman,Richard Appel,7,8,136,15.3,8.7,8.1,27
136,Sideshow Bob's Last Gleaming,"Sideshow Bob again escapes from prison and takes control of a TV screen at an air show, demanding all television stations immediately go off the air.    ",1995-11-26,3F08,Dominic Polcino,Spike Feresten,7,9,137,14.2,8.0,7.2,24
137,The Simpsons 138th Episode Spectacular,Troy McClure hosts a retrospective of the first 137 episodes of The Simpsons (1989).    ,1995-12-03,3F31,David Silverman,Jon Vitti,7,10,138,16.4,7.4,6.9,22
138,Marge Be Not Proud,Marge's relationship with Bart is strained when he is caught shoplifting before Christmas.    ,1995-12-17,3F07,Steven Dean Moore,Mike Scully,7,11,139,16.7,8.5,7.5,26
139,Team Homer,"Homer starts a bowling team with Moe, Apu and Otto, but Mr. Burns insists on joining after learning that the team was funded with his money; Springfield Elementary introduces uniforms.    ",1996-01-07,3F10,Mark Kirkland,Mike Scully,7,12,140,16.7,8.3,7.1,24
140,Two Bad Neighbors,"Former President George Bush and his wife, Barbara, move into the Simpsons' neighborhood and soon clash with Bart and Homer.    ",1996-01-14,3F09,Wes Archer,Ken Keeler,7,13,141,16.5,8.5,7.3,27
141,Scenes from the Class Struggle in Springfield,"After buying a Chanel suit at a bargain price, Marge finds herself invited to a country club by a former schoolmate. Taken in by the opulence of the place, she is soon overcome by a desperation to fit in.    ",1996-02-04,3F11,Susie Dietter,Jennifer Crittenden,7,14,142,14.4,7.7,6.8,22
142,Bart the Fink,"Krusty the Clown is left almost broke after Bart inadvertently rats him out to the IRS, forcing Krusty to take drastic action.    ",1996-02-11,3F12,Jim Reardon,Story by : Bob KushellTeleplay by : John Swartzwelder,7,15,143,15.0,7.6,7.0,25
143,Lisa the Iconoclast,Lisa may figure out what to do when she discovers that Springfield's founding father was actually a murderous thief while researching for an essay.    ,1996-02-18,3F13,Mike B. Anderson,Jonathan Collier,7,16,144,13.4,8.1,7.7,29
144,Homer the Smithers,"When Smithers is forced to take a vacation, he appoints Homer as his temporary replacement.    ",1996-02-25,3F14,Steven Dean Moore,John Swartzwelder,7,17,145,14.1,8.8,8.0,27
145,The Day the Violence Died,"Bart and Lisa meet a vagabond who claims to be the creator of Itchy from ""Itchy and Scratchy.""    ",1996-03-17,3F16,Wes Archer,John Swartzwelder,7,18,146,14.4,8.0,7.2,24
146,A Fish Called Selma,Washed-up movie star Troy McClure starts dating Selma in an attempt to silence bizarre rumors about his personal life and resuscitate his career.    ,1996-03-24,3F15,Mark Kirkland,Jack Barth,7,19,147,12.9,8.2,7.2,24
147,Bart on the Road,"Bart makes a fake driver's license and takes Milhouse, Martin and Nelson on a huge road trip; Lisa spends time with Homer at the power plant.    ",1996-03-31,3F17,Swinton O. Scott III,Richard Appel,7,20,148,11.8,8.6,7.6,28
148,22 Short Films About Springfield,A series of vignettes highlights a day in the life of various Springfield residents.    ,1996-04-14,3F18,Jim Reardon,"Richard Appel, David X. Cohen, Jonathan Collier, Jennifer Crittenden, Greg Daniels, Brent Forrester, Rachel Pulido, Steve Tompkins, Bill Oakley, Josh Weinstein & Matt Groening",7,21,149,10.5,8.9,7.7,23
149,Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish',"One of Grampa's old war buddies dies, and it's revealed that Mr. Burns is the only other living member of his WWII squad and things go sour quickly.    ",1996-04-28,3F19,Jeffrey Lynch,Jonathan Collier,7,22,150,13.0,8.5,7.4,25
150,Much Apu About Nothing,"Anti-immigration fever sweeps Springfield, which threatens to lead to the deportation of Apu, until Homer decides to reject the mob mentality and help him become a legal citizen.    ",1996-05-05,3F20,Susie Dietter,David X. Cohen,7,23,151,11.3,8.1,7.1,22
151,Homerpalooza,"In an attempt to prove his coolness to the kids, Homer takes them to a music festival but ends up embarrassing them after being hired in a sideshow.    ",1996-05-19,3F21,Wes Archer,Brent Forrester,7,24,152,12.9,7.9,7.0,24
152,Summer of 4 Ft. 2,"After realizing how unpopular she is, a disillusioned Lisa sees the vacation to Ned Flanders' beach house as an opportunity to reinvent herself.    ",1996-05-19,3F22,Mark Kirkland,Dan Greaney,7,25,153,14.7,8.4,7.2,21
153,Treehouse of Horror VII,Bart's Siamese twin swells in the attic; Lisa's science experiment creates a miniature universe of advanced civilization; aliens possess Clinton and Dole.    ,1996-10-27,4F02,Mike B. Anderson,Ken Keeler,8,1,154,18.3,8.4,7.5,23
154,You Only Move Twice,"After moving to another town for a new job, Homer must decide whether or not to stay when the family have a hard time with the transfer.    ",1996-11-03,3F23,Mike B. Anderson,John Swartzwelder,8,2,155,13.9,9.2,8.2,31
155,The Homer They Fall,Homer becomes a boxer after Moe discovers his amazing ability to take a punch.    ,1996-11-10,4F03,Mark Kirkland,Jonathan Collier,8,3,156,17.0,8.1,7.4,28
156,"Burns, Baby Burns","The Simpsons try to reunite Mr. Burns with Larry, his slovenly long-lost son.    ",1996-11-17,4F05,Jim Reardon,Ian Maxtone-Graham,8,4,157,12.6,7.6,6.5,24
157,Bart After Dark,Marge leads a crusade against a local burlesque house after she discovers Bart working there.    ,1996-11-24,4F06,Dominic Polcino,Richard Appel,8,5,158,14.1,8.3,7.6,24
158,A Milhouse Divided,Homer questions the state of his marriage after Luann Van Houten demands a divorce from Kirk.    ,1996-12-01,4F04,Steven Dean Moore,Steve Tompkins,8,6,159,12.8,8.0,7.3,23
159,Lisa's Date with Density,"Lisa develops a crush on Nelson, and tries to reform him; Homer gets an autodialer and decides to make easy money with a telemarketing scam.    ",1996-12-15,4F01,Susie Dietter,Mike Scully,8,7,160,12.2,7.8,7.0,22
160,Hurricane Neddy,"After a hurricane destroys Ned Flanders' house, he suffers a nervous breakdown and is forced to confront repressed problems from his childhood.    ",1996-12-29,4F07,Bob Anderson,Steve Young,8,8,161,14.4,8.7,7.8,25
161,El Viaje Misterioso de Nuestro Jomer (The Mysterious Voyage of Homer),"After eating insanity peppers at a chili cook-off, Homer has a hallucination of a talking coyote urging him to find his soulmate.    ",1997-01-05,3F24,Jim Reardon,Ken Keeler,8,9,162,14.85,8.6,7.9,23
162,The Springfield Files,Special Agents Mulder and Scully arrive in Springfield after Homer claims to have seen an alien.    ,1997-01-12,3F25,Steven Dean Moore,Reid Harrison,8,10,163,20.41,9.0,8.4,26
163,The Twisted World of Marge Simpson,"Marge enters the pretzel vending business, but when she fails, Homer recruits some help from the mob.    ",1997-01-19,4F08,Chuck Sheetz,Jennifer Crittenden,8,11,164,13.98,7.7,6.9,23
164,Mountain of Madness,Homer and Mr. Burns get trapped in a snowed-in cabin during a company retreat.    ,1997-02-02,4F10,Mark Kirkland,John Swartzwelder,8,12,165,17.49,8.5,7.8,22
165,Simpsoncalifragilisticexpiala(Annoyed Grunt)cious,"Marge is stressed from motherhood and hires a British nanny to help out around the house, who struggles to teach Bart and Lisa how to behave.    ",1997-02-07,3G03,Chuck Sheetz,Al Jean & Mike Reiss,8,13,166,9.10,7.6,7.2,24
166,The Itchy & Scratchy & Poochie Show,"Homer is cast as Poochie, a new ""Itchy and Scratchy"" character designed to reverse declining ratings; a hip college student moves in with the Simpsons.    ",1997-02-09,4F12,Steven Dean Moore,David X. Cohen,8,14,167,15.67,7.9,7.3,29
167,Homer's Phobia,"After Marge befriends John, a gay store owner, Homer worries that his presence will have a negative effect on Bart's sexuality.    ",1997-02-16,4F11,Mike B. Anderson,Ron Hauge,8,15,168,15.26,8.8,8.4,27
168,Brother from Another Series,Bart suspects a paroled Sideshow Bob is up to his old tricks when he is hired by his brother Cecil to assist in the construction of a dam.    ,1997-02-23,4F14,Pete Michels,Ken Keeler,8,16,169,15.07,8.2,7.4,24
169,"My Sister, My Sitter",Bart is outraged when Lisa becomes his babysitter.    ,1997-03-02,4F13,Jim Reardon,Dan Greaney,8,17,170,15.10,7.9,7.5,23
170,Homer vs. the Eighteenth Amendment,"After alcohol is banned in Springfield, Homer adopts the moniker of the ""Beer Baron"" to bootleg liquor, prompting an investigation from an uptight Treasury agent.    ",1997-03-16,4F15,Bob Anderson,John Swartzwelder,8,18,171,14.60,8.8,8.3,27
171,Grade School Confidential,"Bart discovers Principal Skinner and Mrs Krabappel kissing, and it's not long before the whole town knows of their secret affair.    ",1997-04-06,4F09,Susie Dietter,Rachel Pulido,8,19,172,13.27,8.2,7.4,22
172,The Canine Mutiny,"When the items Bart purchased with a fake credit card are repossessed, he claims that Santa's Little Helper is the dog he bought instead of his new pet, Laddie.    ",1997-04-13,4F16,Dominic Polcino,Ron Hauge,8,20,173,13.25,7.6,7.0,21
173,The Old Man and the Lisa,Burns loses his fortune and recruits Lisa to help him get it back.    ,1997-04-20,4F17,Mark Kirkland,John Swartzwelder,8,21,174,13.97,7.9,7.0,20
174,In Marge We Trust,Marge becomes a church counselor; Homer discovers his face on a Japanese detergent logo.    ,1997-04-27,4F18,Steven Dean Moore,Donick Cary,8,22,175,16.93,8.1,7.5,23
175,Homer's Enemy,Homer's laziness begets the ire of his industrious but arrogant new co-worker Frank Grimes; Bart buys a run-down factory for a dollar.    ,1997-05-04,4F19,Jim Reardon,John Swartzwelder,8,23,176,11.80,9.3,7.9,29
176,The Simpsons Spin-Off Showcase,"Troy McClure presents three spinoffs: ""Chief Wiggins, P.I.,"" ""The Love-Matic Grandpa,"" and ""The Simpson Family Smile-Time Variety Hour.""    ",1997-05-11,4F20,Neil Affleck,Story by : Ken KeelerTeleplay by : David X. Cohen,8,24,177,11.57,7.1,6.3,22
177,The Secret War of Lisa Simpson,"Bart is sent to a military school to be disciplined; Lisa, seeking a challenge, enrolls with him, but faces discrimination as the school's only girl cadet.    ",1997-05-18,4F21,Mike B. Anderson,Richard Appel,8,25,178,12.69,7.8,7.2,24
178,The City of New York vs. Homer Simpson,"Homer must travel to New York to get his car back, which is illegally parked at World Trade Center Plaza.    ",1997-09-21,4F22,Jim Reardon,Ian Maxtone-Graham,9,1,179,17.5,9.0,7.8,28
179,The Principal and the Pauper,"At his 20th anniversary celebration as school principal, Principal Skinner is discovered to be an imposter of the real Seymour Skinner.    ",1997-09-28,4F23,Steven Dean Moore,Ken Keeler,9,2,180,14.9,6.9,6.1,26
180,Lisa's Sax,"Homer recounts the story of Bart's first day of school, which corresponds with the story of how Lisa got her saxophone.    ",1997-10-19,3F26,Dominic Polcino,Al Jean,9,3,181,12.9,8.1,7.0,23
181,Treehouse of Horror VIII,Homer battles mutants after Springfield is annihilated by a neutron bomb; Bart has his DNA mixed with a fly; Marge is revealed to be a witch in colonial Springfield.    ,1997-10-26,5F02,Mark Kirkland,Mike Scully,9,4,182,17.9,8.2,7.5,25
182,The Cartridge Family,"After a massive soccer riot, Homer purchases a gun to protect the family.    ",1997-11-02,5F01,Pete Michels,John Swartzwelder,9,5,183,17.3,8.2,7.0,24
183,Bart Star,"A damning report on childhood obesity in Springfield leads to the formation of a pee-wee football team. After belittling Ned Flanders, Homer ends up coaching the team, but his favoring of Bart makes him unpopular.    ",1997-11-09,5F03,Dominic Polcino,Donick Cary,9,6,184,17.6,7.7,6.9,24
184,The Two Mrs. Nahasapeemapetilons,"Apu receives a letter from his mother stating that it's time for him fulfilled his arranged marriage obligation, he pretends Marge is his wife.    ",1997-11-16,5F04,Steven Dean Moore,Richard Appel,9,7,185,19.8,7.7,6.9,23
185,Lisa the Skeptic,Townspeople believe Lisa has unearthed the fossiled remains of a angel.    ,1997-11-23,5F05,Neil Affleck,David X. Cohen,9,8,186,16.0,8.1,7.3,25
186,Realty Bites,Marge becomes a real-estate agent.    ,1997-12-07,5F06,Swinton O. Scott III,Dan Greaney,9,9,187,17.7,7.6,7.1,22
187,Miracle on Evergreen Terrace,"When Bart accidentally burns down the family's Christmas tree and gifts, he claims that a robber stole everything. As a result, the town gets them a new tree and pitches in to raise funds.    ",1997-12-21,5F07,Bob Anderson,Ron Hauge,9,10,188,16.2,7.6,7.2,25
188,"All Singing, All Dancing","Homer is disappointed when the western he rented turns out to be a musical, so the family reminds him of the musical moments in the show's history.    ",1998-01-04,5F24,Mark Ervin,Steve O'Donnell,9,11,189,15.9,5.0,4.1,21
189,Bart Carny,"Bart and Homer befriend two carnies and invite them to stay with them, but the carnies soon swindle the Simpsons out of their house.    ",1998-01-11,5F08,Mark Kirkland,John Swartzwelder,9,12,190,19.2,7.6,6.5,22
190,The Joy of Sect,An evil cult called the Movementarians brainwashes the citizens of Springfield and it's up to Marge to get them back.    ,1998-02-08,5F23,Steven Dean Moore,Steve O'Donnell,9,13,191,16.2,8.3,7.5,24
191,Das Bus,"While the kids become stranded on a desert island, Homer attempts to cash in on the Internet.    ",1998-02-15,5F11,Pete Michels,David X. Cohen,9,14,192,16.6,8.2,7.3,23
192,The Last Temptation of Krust,"After a disastrous performance, Krusty changes his image and becomes an edgy stand-up.    ",1998-02-22,5F10,Mike B. Anderson,Donick Cary,9,15,193,16.5,7.4,7.0,23
